town,ward,precinct,office,district,party,candidate,votes
Hadley,,1,State Senate,"Hampshire, Franklin and Worcester",Democratic,All Others,1
Fall River,6,A,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",299
Milford,,6,U.S. House,,Democratic,Natalia Linos,76
Walpole,,1,U.S. Senate,,Republican,All Others,3
Attleboro,5,B,State Senate,Bristol and Norfolk,Republican,Total Votes Cast,154
Brookline,,15,Governor's Council,3rd,Democratic,All Others,11
Bourne,,7,Governor's Council,1st,Democratic,Total Votes Cast,798
Franklin,,7,State Senate,"Norfolk, Bristol and Middlesex",Republican,Blanks,48
Cambridge,6,1,Governor's Council,6th,Democratic,Terrence W. Kennedy,411
Danvers,,2,Governor's Council,5th,Democratic,Total Votes Cast,778
Weston,,2,U.S. House,5th,Libertarian,All Others,1
Melrose,2,1,State House,32nd Middlesex,Special Democratic,Mathew Helman,16
Plymouth,,8,U.S. Senate,,Libertarian,Blanks,0
Westford,,4,State Senate,1st Middlesex,Democratic,All Others,2
Boston,4,1,U.S. Senate,,Republican,Shiva Ayyadurai,10
Canton,,2,State Senate,"Norfolk, Bristol and Plymouth",Democratic,"Walter F. Timilty, Jr.",700
Windsor,,1,Governor's Council,8th,Democratic,All Others,0
Marlborough,5,2,U.S. Senate,,Republican,Kevin J. O'Connor,64
Braintree,,2B,Governor's Council,2nd,Democratic,Blanks,239
Northbridge,,4,U.S. Senate,,Democratic,All Others,2
Gloucester,3,2,Governor's Council,5th,Democratic,Total Votes Cast,613
Ludlow,,1,U.S. House,1st,Democratic,Richard E. Neal,425
Salem,1,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",185
Shrewsbury,,8,Governor's Council,7th,Democratic,Blanks,139
Falmouth,,2,State Senate,Plymouth and Barnstable,Special Republican,Blanks,10
TOTALS,,,State House,4th Plymouth,Democratic,All Others,32
Merrimac,,1,U.S. Senate,,Democratic,Edward J. Markey,365
Medford,5,2,State House,34th Middlesex,Democratic,Christine P. Barber,383
Lynn,6,2,U.S. House,6th,Republican,All Others,0
Newburyport,6,1,U.S. House,6th,Republican,Total Votes Cast,184
Duxbury,,2,Governor's Council,4th,Democratic,Blanks,175
Groton,,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",326
Boston,21,9,Governor's Council,3rd,Democratic,All Others,5
Blackstone,,3,U.S. House,2nd,Democratic,All Others,1
Leominster,3,B,State House,4th Worcester,Republican,Total Votes Cast,193
Springfield,4,A,U.S. Senate,,Republican,Blanks,0
Fitchburg,2,A,State Senate,Worcester and Middlesex,Republican,Blanks,3
Holyoke,6,B,Governor's Council,8th,Democratic,Blanks,139
Worcester,3,5,U.S. House,2nd,Republican,Total Votes Cast,70
Weston,,4,State House,14th Norfolk,Democratic,Total Votes Cast,694
Gloucester,4,1,U.S. Senate,,Republican,Kevin J. O'Connor,71
Charlton,,4,U.S. House,1st,Democratic,Total Votes Cast,469
Newburyport,4,1,Governor's Council,5th,Democratic,Blanks,243
Franklin,,4,Governor's Council,2nd,Democratic,Blanks,212
Ashby,,1,State House,1st Middlesex,Republican,All Others,0
Mendon,,1,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Barnstable,,1,U.S. Senate,,Democratic,Edward J. Markey,561
Lynn,7,2,State Senate,3rd Essex,Democratic,All Others,7
New Bedford,5,E,State House,13th Bristol,Democratic,Total Votes Cast,628
Peabody,4,1,U.S. Senate,,Republican,Kevin J. O'Connor,86
Boston,12,5,U.S. House,7th,Republican,Blanks,2
Boston,18,23,U.S. House,7th,Republican,Rayla Campbell,0
Dracut,,4,U.S. House,3rd,Democratic,Total Votes Cast,633
Billerica,,3,U.S. Senate,,Republican,All Others,3
Holliston,,1,U.S. House,5th,Libertarian,Blanks,0
Winchester,,4,U.S. Senate,,Republican,Kevin J. O'Connor,61
Uxbridge,,3,U.S. Senate,,Libertarian,Blanks,6
New Bedford,1,F,U.S. House,9th,Democratic,Total Votes Cast,449
N. Attleborough,,5,U.S. Senate,,Democratic,Edward J. Markey,185
Freetown,,1,State House,6th Bristol,Democratic,All Others,3
Southbridge,,2,U.S. Senate,,Libertarian,All Others,5
Bourne,,6,State Senate,Plymouth and Barnstable,Democratic,Total Votes Cast,666
Taunton,1,B,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Attleboro,4,A,State House,2nd Bristol,Democratic,All Others,3
Montague,,5,U.S. Senate,,Republican,Blanks,1
Egremont,,1,U.S. Senate,,Libertarian,Blanks,1
Cambridge,7,2,State House,25th Middlesex,Democratic,Marjorie C. Decker,419
Boston,22,3,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Boston,10,2,State Senate,2nd Suffolk,Democratic,All Others,2
Boston,5,9,State House,8th Suffolk,Democratic,Jay D. Livingstone,663
Hanover,,3,State House,5th Plymouth,Democratic,Total Votes Cast,729
Tyngsborough,,3,U.S. Senate,,Democratic,All Others,0
Shrewsbury,,4,U.S. Senate,,Libertarian,All Others,3
Brockton,4,B,U.S. House,8th,Democratic,Stephen F. Lynch,381
Seekonk,,2,U.S. House,,Democratic,Ihssane Leckey,89
Boston,13,6,State House,13th Suffolk,Democratic,All Others,6
Longmeadow,,A,State House,2nd Hampden,Democratic,All Others,8
Boston,17,12,U.S. Senate,,Democratic,Total Votes Cast,401
Lakeville,,3,U.S. House,,Democratic,Total Votes Cast,738
Sandwich,,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",406
Shrewsbury,,9,U.S. House,2nd,Republican,All Others,0
Quincy,3,2,Governor's Council,4th,Democratic,All Others,8
E. Longmeadow,,3,State House,2nd Hampden,Democratic,All Others,3
Rockland,,4,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",338
Westfield,5,A,State House,4th Hampden,Republican,Kelly W. Pease,239
Boston,21,11,U.S. Senate,,Libertarian,Total Votes Cast,3
Orange,,1,State Senate,"Hampshire, Franklin and Worcester",Democratic,Total Votes Cast,459
Waltham,3,1,U.S. Senate,,Democratic,All Others,0
Plymouth,,10,U.S. Senate,,Republican,Shiva Ayyadurai,68
Fall River,6,B,U.S. Senate,,Libertarian,All Others,0
Beverly,1,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Watertown,,6,U.S. House,5th,Democratic,Blanks,117
Ipswich,,4,U.S. Senate,,Republican,All Others,1
Weymouth,,9,U.S. Senate,,Democratic,All Others,3
Plymouth,,3,U.S. Senate,,Republican,Kevin J. O'Connor,101
Somerville,6,3,U.S. Senate,,Democratic,Edward J. Markey,615
Holyoke,2,B,State House,5th Hampden,Democratic,Patrick B. Beaudry,41
Revere,5,3,Governor's Council,6th,Democratic,Blanks,60
Halifax,,1,U.S. House,9th,Democratic,Bill Keating,561
Walpole,,5,State Senate,Bristol and Norfolk,Republican,Blanks,176
Lexington,,2,U.S. House,5th,Republican,Blanks,13
Marshfield,,7,State Senate,Plymouth and Norfolk,Democratic,Meg Wheeler,710
Brookline,,5,U.S. House,4th,Republican,Blanks,2
Holbrook,,3,U.S. Senate,,Republican,Total Votes Cast,146
Littleton,,3,U.S. Senate,,Democratic,All Others,0
Falmouth,,8,U.S. Senate,,Libertarian,Blanks,2
Newton,3,2,U.S. House,,Democratic,Natalia Linos,72
Everett,5,2,U.S. Senate,,Democratic,Total Votes Cast,500
Revere,3,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",167
Chelsea,3,2,State House,16th Suffolk,Democratic,Blanks,26
Lunenburg,,C,Governor's Council,7th,Democratic,All Others,0
Cambridge,6,3,State House,25th Middlesex,Democratic,Total Votes Cast,1184
W. Springfield,,5,Governor's Council,8th,Democratic,Blanks,161
Andover,,4,Governor's Council,5th,Democratic,All Others,2
Lowell,7,3,State House,18th Middlesex,Democratic,Blanks,26
Weymouth,,16,U.S. Senate,,Democratic,Total Votes Cast,790
Bourne,,3,Governor's Council,1st,Democratic,Joseph C. Ferreira,229
Lowell,10,1,Governor's Council,5th,Democratic,Total Votes Cast,390
Stoughton,,1,U.S. Senate,,Democratic,Blanks,9
Needham,,C,U.S. House,,Democratic,Benjamin R. Sigel,26
Cambridge,8,3,State House,25th Middlesex,Democratic,Blanks,19
Raynham,,1A,U.S. Senate,,Republican,Blanks,0
Boston,18,3,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",518
Boston,18,21,State Senate,1st Suffolk,Democratic,Blanks,114
Montague,,2,U.S. House,2nd,Democratic,All Others,4
Hampden,,1,U.S. Senate,,Libertarian,Total Votes Cast,5
Lynn,4,1,U.S. Senate,,Republican,Shiva Ayyadurai,11
Boston,18,10,Governor's Council,2nd,Democratic,All Others,8
Everett,3,2,U.S. House,7th,Republican,All Others,11
Saugus,,3,U.S. House,6th,Democratic,Seth W. Moulton,333
Boston,18,20,U.S. House,7th,Republican,Total Votes Cast,104
Falmouth,,9,U.S. Senate,,Republican,All Others,0
Plainfield,,1,State House,1st Franklin,Democratic,Total Votes Cast,257
Northampton,2,B,State House,1st Hampshire,Democratic,Lindsay N. Sabadosa,524
Watertown,,6,U.S. Senate,,Democratic,Blanks,2
Worcester,1,2,U.S. House,2nd,Democratic,Blanks,123
Acton,,4,State House,37th Middlesex,Special Republican,Blanks,4
Taunton,1,A,U.S. Senate,,Libertarian,Total Votes Cast,4
Rutland,,3,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Total Votes Cast,488
Granby,,2,State House,2nd Hampshire,Democratic,Blanks,120
Holyoke,6,B,State Senate,2nd Hampden and Hampshire,Democratic,All Others,3
Cambridge,9,3,U.S. House,5th,Republican,Caroline Colarusso,35
Adams,,4,U.S. Senate,,Democratic,Total Votes Cast,283
Revere,5,3,U.S. Senate,,Democratic,Blanks,6
Methuen,,6,Governor's Council,5th,Democratic,Total Votes Cast,603
Springfield,7,B,U.S. House,1st,Democratic,Total Votes Cast,734
Shrewsbury,,10,State Senate,2nd Worcester,Democratic,Total Votes Cast,749
Boston,5,11,U.S. Senate,,Democratic,Blanks,2
Malden,7,1,U.S. House,5th,Democratic,Total Votes Cast,588
Franklin,,1,U.S. Senate,,Democratic,Total Votes Cast,836
Easton,,6,U.S. Senate,,Republican,Kevin J. O'Connor,163
Weston,,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Marblehead,,6,State Senate,3rd Essex,Republican,Total Votes Cast,161
Billerica,,1,U.S. House,6th,Democratic,Angus G. McQuilken,57
Springfield,6,E,Governor's Council,8th,Democratic,Blanks,43
Brimfield,,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",320
Wellesley,,F,U.S. House,,Democratic,Total Votes Cast,620
Saugus,,8,U.S. Senate,,Democratic,Blanks,4
Maynard,,3,U.S. Senate,,Libertarian,Total Votes Cast,1
Norwell,,2,U.S. House,9th,Republican,Blanks,58
Mashpee,,4,Governor's Council,1st,Democratic,Blanks,162
Boston,14,11,U.S. House,7th,Republican,Blanks,2
Richmond,,1,U.S. House,1st,Democratic,Richard E. Neal,332
Fall River,6,B,U.S. Senate,,Democratic,All Others,0
Rockland,,5,State House,5th Plymouth,Republican,All Others,1
Lynn,6,3,State Senate,3rd Essex,Republican,Carlos Armando Hernandez,0
Royalston,,1,Governor's Council,8th,Democratic,Total Votes Cast,159
Revere,1,3,U.S. Senate,,Libertarian,Total Votes Cast,1
TOTALS,,,State House,11th Norfolk,Democratic,Blanks,3187
Pelham,,1,U.S. Senate,,Republican,Kevin J. O'Connor,18
Lowell,1,1,U.S. House,3rd,Democratic,All Others,2
Boston,19,12,Governor's Council,2nd,Democratic,Robert L. Jubinville,418
Boston,18,3,U.S. Senate,,Republican,Blanks,0
Groton,,3,State House,1st Middlesex,Republican,Sheila C. Harrington,169
Lunenburg,,A,State House,37th Middlesex,Special Democratic,Total Votes Cast,478
Stoughton,,6,U.S. House,8th,Democratic,Blanks,37
Spencer,,2,U.S. Senate,,Democratic,All Others,0
Westborough,,2,U.S. Senate,,Republican,Kevin J. O'Connor,51
Leominster,3,A,U.S. Senate,,Libertarian,All Others,0
Boston,3,3,U.S. Senate,,Libertarian,All Others,1
Boston,18,5,U.S. Senate,,Democratic,Total Votes Cast,732
Tewksbury,,3A,State House,18th Essex,Republican,Blanks,11
Boston,11,4,U.S. House,7th,Democratic,Total Votes Cast,690
Essex,,1,U.S. House,6th,Democratic,Blanks,26
Groveland,,2,U.S. Senate,,Republican,Blanks,6
Beverly,6,2,U.S. House,6th,Democratic,Angus G. McQuilken,88
Clarksburg,,1,U.S. Senate,,Democratic,Blanks,0
Boston,9,5,U.S. Senate,,Libertarian,Blanks,0
Springfield,1,E,U.S. House,1st,Democratic,Blanks,12
Agawam,,2,U.S. Senate,,Democratic,All Others,0
Framingham,,14,U.S. Senate,,Republican,Shiva Ayyadurai,21
Brockton,3,B,U.S. House,8th,Democratic,Total Votes Cast,398
Boston,5,3,Governor's Council,6th,Democratic,Terrence W. Kennedy,267
Chelsea,4,1,U.S. Senate,,Libertarian,Total Votes Cast,1
Cambridge,8,1,U.S. House,5th,Libertarian,All Others,0
Falmouth,,5,U.S. House,9th,Republican,All Others,2
Springfield,8,E,State Senate,Hampden,Democratic,James T. Welch,75
Gloucester,3,1,U.S. Senate,,Democratic,Edward J. Markey,285
Blackstone,,3,Governor's Council,7th,Democratic,Padraic Rafferty,110
Burlington,,5,U.S. House,6th,Republican,All Others,1
Sharon,,4,U.S. House,,Democratic,Blanks,59
TOTALS,,,State House,2nd Worcester,Democratic,Blanks,714
Brookline,,7,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,697
Douglas,,1,U.S. House,2nd,Republican,Tracy Lyn Lovvorn,184
Norwell,,3,State House,5th Plymouth,Republican,Total Votes Cast,220
Marlborough,6,2,U.S. Senate,,Democratic,All Others,1
Revere,2,2,U.S. Senate,,Libertarian,All Others,0
Milford,,7,State Senate,Worcester and Norfolk,Democratic,All Others,18
Boston,5,2A,State House,7th Suffolk,Democratic,All Others,0
Scituate,,2,State House,4th Plymouth,Democratic,All Others,6
Marlborough,1,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",276
Boston,12,5,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",218
Lynn,7,2,U.S. Senate,,Republican,Total Votes Cast,76
Northfield,,1,Governor's Council,8th,Democratic,Total Votes Cast,729
Pembroke,,5,U.S. Senate,,Republican,Shiva Ayyadurai,81
Shirley,,1,State House,37th Middlesex,Special Republican,Blanks,0
Palmer,,3,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,Blanks,18
Revere,6,2,State House,16th Suffolk,Democratic,Blanks,11
Rehoboth,,2,U.S. Senate,,Republican,Kevin J. O'Connor,170
Seekonk,,3,U.S. Senate,,Republican,Total Votes Cast,128
Newton,8,1,U.S. House,,Democratic,All Others,1
N. Attleborough,,4,U.S. House,,Democratic,All Others,1
Peabody,4,3A,State House,12th Essex,Democratic,All Others,2
Reading,,8,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Freetown,,2,U.S. House,,Democratic,Total Votes Cast,503
Sharon,,5,U.S. House,4th,Republican,All Others,0
Lynn,1,4,U.S. Senate,,Democratic,Blanks,4
Lawrence,D,2,State House,17th Essex,Democratic,All Others,1
Waltham,1,2,U.S. Senate,,Libertarian,All Others,3
Foxborough,,5,U.S. House,,Democratic,Ihssane Leckey,82
Chelsea,3,1,U.S. Senate,,Republican,Blanks,2
Bridgewater,,7,U.S. Senate,,Democratic,Edward J. Markey,314
Sandwich,,6,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",291
Lexington,,9,U.S. Senate,,Libertarian,All Others,3
Scituate,,5,U.S. Senate,,Republican,Blanks,3
Leominster,2,B,U.S. House,2nd,Democratic,James P. McGovern,282
Fall River,1,A,U.S. House,9th,Republican,Helen Brady,96
Lowell,5,2,U.S. Senate,,Republican,Blanks,0
Boston,19,13,U.S. Senate,,Democratic,Total Votes Cast,427
Leverett,,1,State House,1st Franklin,Democratic,Natalie M. Blais,755
Peabody,5,3,U.S. Senate,,Republican,All Others,1
Needham,,C,U.S. House,4th,Republican,Total Votes Cast,106
Plymouth,,7,State Senate,Plymouth and Barnstable,Special Republican,All Others,0
Medway,,4,U.S. House,4th,Republican,Julie A. Hall,128
Marlborough,4,1,U.S. House,3rd,Democratic,Lori Loureiro Trahan,252
Charlemont,,1,State Senate,"Berkshire, Hampshire, Franklin & Hampden",Democratic,Total Votes Cast,317
Chicopee,8,A,State Senate,2nd Hampden and Hampshire,Democratic,John C. Velis,533
Marblehead,,3,U.S. House,6th,Democratic,All Others,1
Northbridge,,3,State Senate,Worcester and Norfolk,Republican,Ryan C. Fattman,199
Woburn,5,2,U.S. House,5th,Republican,All Others,1
Ludlow,,5,U.S. Senate,,Republican,Shiva Ayyadurai,62
Harwich,,2,U.S. House,9th,Republican,Helen Brady,223
Salem,5,2,U.S. House,6th,Democratic,Blanks,32
Fall River,7,A,U.S. Senate,,Republican,Kevin J. O'Connor,51
Boston,17,12,U.S. Senate,,Democratic,Blanks,1
Lenox,,1,Governor's Council,8th,Democratic,Blanks,327
Lincoln,,1,Governor's Council,3rd,Democratic,Total Votes Cast,1587
Holyoke,5,A,State Senate,2nd Hampden and Hampshire,Republican,Total Votes Cast,156
Shrewsbury,,3,Governor's Council,7th,Democratic,Padraic Rafferty,120
Natick,,6,U.S. House,5th,Republican,Caroline Colarusso,111
New Bedford,4,B,U.S. Senate,,Republican,Total Votes Cast,42
Lynn,7,4,U.S. House,6th,Democratic,Total Votes Cast,426
Taunton,3,A,U.S. Senate,,Libertarian,All Others,1
Townsend,,3,U.S. House,3rd,Democratic,Blanks,45
Springfield,4,F,U.S. Senate,,Libertarian,Total Votes Cast,0
Stoughton,,6,U.S. Senate,,Democratic,Total Votes Cast,992
Chatham,,1,U.S. House,9th,Democratic,Total Votes Cast,1840
Reading,,7,State Senate,5th Middlesex,Democratic,Blanks,252
N. Attleborough,,4,U.S. Senate,,Libertarian,All Others,0
Plymouth,,5,State Senate,Plymouth and Barnstable,Republican,"James R. McMahon, III",257
New Bedford,1,E,State House,8th Bristol,Democratic,Total Votes Cast,395
Boston,18,21,U.S. House,7th,Republican,Total Votes Cast,4
Greenfield,,1,U.S. Senate,,Libertarian,All Others,2
Brockton,1,B,U.S. Senate,,Libertarian,Total Votes Cast,0
Rehoboth,,3,U.S. Senate,,Libertarian,Blanks,4
Belmont,,1,U.S. Senate,,Libertarian,Blanks,1
Whitman,,2,U.S. Senate,,Democratic,All Others,0
Winthrop,,2,State Senate,1st Suffolk and Middlesex,Democratic,Total Votes Cast,645
Greenfield,,9,U.S. House,2nd,Republican,All Others,2
Lowell,11,1,Governor's Council,5th,Democratic,All Others,1
Webster,,3,U.S. Senate,,Republican,Total Votes Cast,148
Plymouth,,1,U.S. House,9th,Democratic,All Others,8
Fall River,5,A,U.S. Senate,,Republican,Total Votes Cast,32
Revere,4,2,State House,16th Suffolk,Democratic,Total Votes Cast,364
Taunton,7,A,U.S. Senate,,Democratic,Edward J. Markey,161
Groton,,1,U.S. Senate,,Republican,Shiva Ayyadurai,81
Westfield,1,A,U.S. Senate,,Republican,Shiva Ayyadurai,155
Lynn,5,4,U.S. House,6th,Democratic,Angus G. McQuilken,36
Weymouth,,6,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",630
Lowell,11,3,U.S. Senate,,Libertarian,Total Votes Cast,0
Townsend,,2,U.S. Senate,,Democratic,All Others,0
Boston,5,10,Governor's Council,3rd,Democratic,Total Votes Cast,462
Stoughton,,7,Governor's Council,2nd,Democratic,All Others,4
Topsfield,,1,U.S. House,6th,Democratic,Total Votes Cast,1627
Attleboro,2,B,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Rebecca L. Rausch,527
Framingham,,9,U.S. Senate,,Democratic,Total Votes Cast,631
Waltham,7,2,State Senate,3rd Middlesex,Democratic,All Others,0
Lawrence,A,4,U.S. House,3rd,Democratic,Total Votes Cast,324
Brockton,6,C,U.S. Senate,,Libertarian,All Others,2
Hamilton,,2,Governor's Council,5th,Democratic,Eileen R. Duff,523
Springfield,3,E,State Senate,Hampden,Democratic,All Others,0
Springfield,5,C,State House,9th Hampden,Democratic,Denise Marie Hurst,162
Lynn,1,3,Governor's Council,6th,Democratic,Total Votes Cast,625
Revere,5,3,U.S. House,5th,Republican,Caroline Colarusso,51
Holliston,,2,U.S. Senate,,Libertarian,All Others,4
Wilmington,,2,U.S. House,6th,Democratic,Jamie M. Belsito,89
Quincy,1,4,U.S. Senate,,Democratic,All Others,6
Somerville,7,2,Governor's Council,6th,Democratic,Terrence W. Kennedy,409
Medfield,,1,U.S. House,,Democratic,Benjamin R. Sigel,8
Littleton,,1,U.S. Senate,,Republican,Kevin J. O'Connor,97
Attleboro,3,B,Governor's Council,2nd,Democratic,Blanks,158
Montague,,4,U.S. House,2nd,Republican,Total Votes Cast,58
Tewksbury,,2,U.S. House,6th,Democratic,Total Votes Cast,710
Arlington,,10,U.S. House,5th,Republican,All Others,0
Agawam,,2,State Senate,2nd Hampden and Hampshire,Republican,All Others,7
Rockland,,6,State House,5th Plymouth,Democratic,Total Votes Cast,549
Belmont,,6,U.S. House,5th,Republican,Caroline Colarusso,63
Mansfield,,6,U.S. House,4th,Republican,All Others,2
Lowell,4,2,U.S. Senate,,Republican,Total Votes Cast,29
Worcester,5,1,U.S. House,2nd,Republican,Blanks,8
Lowell,10,3,U.S. Senate,,Libertarian,All Others,0
Tewksbury,,1A,Governor's Council,5th,Democratic,Blanks,136
Athol,,2,U.S. Senate,,Democratic,Blanks,1
Medfield,,4,U.S. House,,Democratic,Blanks,127
Somerville,1,3,U.S. House,7th,Republican,Rayla Campbell,4
Harwich,,3,U.S. Senate,,Republican,Kevin J. O'Connor,143
Reading,,7,State Senate,5th Middlesex,Republican,Total Votes Cast,303
Dennis,,5,U.S. Senate,,Republican,All Others,2
Somerville,4,1,Governor's Council,6th,Democratic,All Others,1
Boston,14,8,State Senate,2nd Suffolk,Democratic,Blanks,68
